metric,value
val/test_score/countdown_diff_1,0.0
val/test_score/countdown_diff_2,0.0
val/test_score/countdown_diff_3,0.0
val/test_score/countdown_diff_4,0.0
val/test_score/kk_logic_3,-3.0
val/test_score/kk_logic_4,-3.0
val/test_score/kk_logic_5,-3.0
val/test_score/kk_logic_6,-3.0
val/test_score/kk_logic_7,-3.0
val/test_score/kk_logic_8,-3.0
val/test_score/math_train_level_1,0.0
val/test_score/math_train_level_2,0.0
val/test_score/math_train_level_3,0.0
val/test_score/math_train_level_4,0.0
val/test_score/math_train_level_5,0.0
val/test_score/zebra_houses_3,0.267
val/test_score/zebra_houses_4,0.3
val/test_score/zebra_houses_5,0.118
