step,cluster_key,A_mean,raw_radius,radius,UCB,prob,selected,active_size,cluster_size,migration_in,migration_out
61,cluster_0,0.329,0.18012902027780825,0.153109667236137,0.482109667236137,0.24,464,100,100,0,0
61,cluster_1,0.301,0.18602311767530388,0.1581196500240083,0.4591196500240083,0.214,435,183,200,0,0
61,cluster_2,0.259,0.19568703475466548,0.16633397954146564,0.4253339795414657,0.182,393,159,180,0,0
61,cluster_3,0.238,0.22692186966387995,0.19288358921429796,0.4308835892142979,0.187,292,132,160,0,0
61,cluster_4,0.23,0.22241303870703072,0.1890510829009761,0.41905108290097615,0.177,304,138,160,0,0
62,cluster_0,0.317,0.18012902027780825,0.153109667236137,0.470109667236137,0.228,464,100,100,0,0
62,cluster_1,0.297,0.18602311767530388,0.1581196500240083,0.4551196500240083,0.213,435,183,200,0,0
62,cluster_2,0.26,0.19568703475466548,0.16633397954146564,0.4263339795414657,0.185,393,159,180,0,0
62,cluster_3,0.239,0.22692186966387995,0.19288358921429796,0.4318835892142979,0.19,292,132,160,0,0
62,cluster_4,0.236,0.22241303870703072,0.1890510829009761,0.4250510829009761,0.184,304,140,160,0,0
63,cluster_0,0.322,0.18012902027780825,0.153109667236137,0.475109667236137,0.234,464,100,100,0,0
63,cluster_1,0.292,0.18602311767530388,0.1581196500240083,0.4501196500240083,0.208,435,184,200,0,0
63,cluster_2,0.269,0.19568703475466548,0.16633397954146564,0.4353339795414657,0.193,393,160,180,0,0
63,cluster_3,0.237,0.22692186966387995,0.19288358921429796,0.4298835892142979,0.189,292,135,160,0,0
63,cluster_4,0.226,0.22241303870703072,0.1890510829009761,0.41505108290097614,0.176,304,140,160,0,0
64,cluster_0,0.323,0.18012902027780825,0.153109667236137,0.476109667236137,0.239,464,100,100,0,0
64,cluster_1,0.294,0.18602311767530388,0.1581196500240083,0.4521196500240083,0.213,435,184,200,0,0
64,cluster_2,0.246,0.19568703475466548,0.16633397954146564,0.41233397954146567,0.177,393,161,180,0,0
64,cluster_3,0.241,0.22692186966387995,0.19288358921429796,0.4338835892142979,0.196,292,135,160,0,0
64,cluster_4,0.221,0.22241303870703072,0.1890510829009761,0.41005108290097614,0.175,304,141,160,0,0
65,cluster_0,0.326,0.18012902027780825,0.153109667236137,0.479109667236137,0.244,464,100,100,0,0
65,cluster_1,0.291,0.18602311767530388,0.1581196500240083,0.4491196500240083,0.212,435,184,200,0,0
65,cluster_2,0.241,0.19568703475466548,0.16633397954146564,0.40733397954146566,0.174,393,161,180,0,0
65,cluster_3,0.239,0.22692186966387995,0.19288358921429796,0.4318835892142979,0.196,292,135,160,0,0
65,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.175,304,142,160,0,0
66,cluster_0,0.302,0.18012902027780825,0.153109667236137,0.455109667236137,0.223,464,100,100,0,0
66,cluster_1,0.292,0.18602311767530388,0.1581196500240083,0.4501196500240083,0.217,435,184,200,0,0
66,cluster_2,0.25,0.19568703475466548,0.16633397954146564,0.41633397954146567,0.185,393,161,180,0,0
66,cluster_3,0.236,0.22692186966387995,0.19288358921429796,0.4288835892142979,0.197,292,135,160,0,0
66,cluster_4,0.221,0.22241303870703072,0.1890510829009761,0.41005108290097614,0.179,304,142,160,0,0
67,cluster_0,0.299,0.18012902027780825,0.153109667236137,0.452109667236137,0.221,464,100,100,0,0
67,cluster_1,0.293,0.18602311767530388,0.1581196500240083,0.4511196500240083,0.221,435,185,200,0,0
67,cluster_2,0.245,0.19568703475466548,0.16633397954146564,0.41133397954146567,0.183,393,161,180,0,0
67,cluster_3,0.234,0.22692186966387995,0.19288358921429796,0.426883589214298,0.196,292,137,160,0,0
67,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.179,304,142,160,0,0
68,cluster_0,0.31,0.18012902027780825,0.153109667236137,0.463109667236137,0.234,464,100,100,0,0
68,cluster_1,0.293,0.18602311767530388,0.1581196500240083,0.4511196500240083,0.221,435,186,200,0,0
68,cluster_2,0.24,0.19568703475466548,0.16633397954146564,0.40633397954146566,0.179,393,162,180,0,0
68,cluster_3,0.23,0.22692186966387995,0.19288358921429796,0.422883589214298,0.193,292,137,160,0,0
68,cluster_4,0.21,0.22241303870703072,0.1890510829009761,0.39905108290097613,0.173,304,142,160,0,0
69,cluster_0,0.301,0.18012902027780825,0.153109667236137,0.454109667236137,0.229,464,100,100,0,0
69,cluster_1,0.291,0.18602311767530388,0.1581196500240083,0.4491196500240083,0.223,435,187,200,0,0
69,cluster_2,0.234,0.19568703475466548,0.16633397954146564,0.40033397954146566,0.177,393,162,180,0,0
69,cluster_3,0.226,0.22692186966387995,0.19288358921429796,0.41888358921429797,0.194,292,139,160,0,0
69,cluster_4,0.211,0.22241303870703072,0.1890510829009761,0.40005108290097613,0.177,304,143,160,0,0
70,cluster_0,0.298,0.18012902027780825,0.153109667236137,0.451109667236137,0.225,464,100,100,0,0
70,cluster_1,0.284,0.18602311767530388,0.1581196500240083,0.44211965002400827,0.216,435,187,200,0,0
70,cluster_2,0.239,0.19568703475466548,0.16633397954146564,0.40533397954146566,0.181,393,163,180,0,0
70,cluster_3,0.226,0.22692186966387995,0.19288358921429796,0.41888358921429797,0.194,292,139,160,0,0
70,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.183,304,143,160,0,0
71,cluster_0,0.29,0.18012902027780825,0.153109667236137,0.443109667236137,0.22,464,100,100,0,0
71,cluster_1,0.283,0.18602311767530388,0.1581196500240083,0.44111965002400827,0.219,435,187,200,0,0
71,cluster_2,0.233,0.19568703475466548,0.16633397954146564,0.39933397954146566,0.179,393,164,180,0,0
71,cluster_3,0.229,0.22692186966387995,0.19288358921429796,0.42188358921429797,0.199,292,140,160,0,0
71,cluster_4,0.215,0.22241303870703072,0.1890510829009761,0.40405108290097613,0.183,304,143,160,0,0
72,cluster_0,0.276,0.18012902027780825,0.153109667236137,0.429109667236137,0.211,464,100,100,0,0
72,cluster_1,0.277,0.18602311767530388,0.1581196500240083,0.4351196500240083,0.217,435,187,200,0,0
72,cluster_2,0.23,0.19568703475466548,0.16633397954146564,0.39633397954146565,0.18,393,164,180,0,0
72,cluster_3,0.236,0.22692186966387995,0.19288358921429796,0.4288835892142979,0.21,292,140,160,0,0
72,cluster_4,0.211,0.22241303870703072,0.1890510829009761,0.40005108290097613,0.183,304,144,160,0,0
73,cluster_0,0.263,0.18012902027780825,0.153109667236137,0.416109667236137,0.197,464,100,100,0,0
73,cluster_1,0.281,0.18602311767530388,0.1581196500240083,0.4391196500240083,0.22,435,188,200,0,0
73,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.186,393,164,180,0,0
73,cluster_3,0.24,0.22692186966387995,0.19288358921429796,0.4328835892142979,0.214,292,141,160,0,0
73,cluster_4,0.213,0.22241303870703072,0.1890510829009761,0.40205108290097613,0.184,304,145,160,0,0
74,cluster_0,0.272,0.18012902027780825,0.153109667236137,0.425109667236137,0.202,464,100,100,0,0
74,cluster_1,0.277,0.18602311767530388,0.1581196500240083,0.4351196500240083,0.212,435,189,200,0,0
74,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.188,393,164,180,0,0
74,cluster_3,0.229,0.22692186966387995,0.19288358921429796,0.42188358921429797,0.199,292,143,160,0,0
74,cluster_4,0.233,0.22241303870703072,0.1890510829009761,0.42205108290097615,0.2,304,145,160,0,0
75,cluster_0,0.271,0.18012902027780825,0.153109667236137,0.424109667236137,0.198,464,100,100,0,0
